,ideal,ngem,zne,noisy,depth
1129,-0.244140625,0.06236196681857109,-0.13975000381469727,0.0885000005364418,3
1130,-0.158203125,0.16320067644119263,0.005249999929219484,0.18700000643730164,3
1131,-0.181640625,-0.02765004336833954,0.06224999949336052,-0.020500000566244125,3
1132,-0.17578125,-0.2356262505054474,-0.1522500067949295,-0.1445000022649765,3
1133,-0.21484375,0.10175108909606934,-0.14174999296665192,0.12150000035762787,3
1134,-0.205078125,-0.18950185179710388,0.023000000044703484,-0.14399999380111694,3
1135,-0.2421875,0.12066364288330078,-0.1927500069141388,0.11999999731779099,3
1136,-0.224609375,-0.00388336181640625,-0.2672500014305115,0.032999999821186066,3
1137,-0.205078125,0.030134521424770355,-0.16574999690055847,0.061500001698732376,3
1138,-0.162109375,-0.1533057689666748,-0.05000000074505806,-0.11599999666213989,3
1139,-0.193359375,-0.33331960439682007,-0.28999999165534973,-0.24300000071525574,3
1140,-0.203125,-0.13299915194511414,-0.20675000548362732,-0.12700000405311584,3
1141,-0.150390625,-0.14481039345264435,-0.2277500033378601,-0.12999999523162842,3
1142,-0.2265625,0.079072505235672,-0.060750000178813934,0.10249999910593033,3
1143,-0.1875,-0.0019622966647148132,-0.11599999666213989,-0.004000000189989805,3
1144,-0.1953125,-0.24021807312965393,-0.13249999284744263,-0.16500000655651093,3
1145,-0.154296875,0.1922151744365692,-0.05025000125169754,0.17649999260902405,3
1146,-0.197265625,-0.14715543389320374,-0.18649999797344208,-0.13099999725818634,3
1147,-0.24609375,-0.11835509538650513,-0.06650000065565109,-0.07050000131130219,3
1148,-0.2109375,-0.41018742322921753,-0.2757500112056732,-0.3504999876022339,3
1149,-0.216796875,-0.2056320309638977,-0.03674999997019768,-0.11900000274181366,3
1150,-0.212890625,0.187505841255188,-0.05249999836087227,0.17599999904632568,3
1151,-0.171875,-0.39374980330467224,-0.14499999582767487,-0.3174999952316284,3
1152,-0.21484375,-0.08604240417480469,-0.12025000154972076,-0.07900000363588333,3
1153,-0.158203125,-0.054375484585762024,0.07699999958276749,-0.02500000037252903,3
1154,-0.169921875,-0.2248181700706482,-0.21125000715255737,-0.17599999904632568,3
1155,-0.224609375,-0.2499637007713318,-0.025499999523162842,-0.20200000703334808,3
1156,-0.1796875,-0.32333904504776,-0.15700000524520874,-0.28349998593330383,3
1157,-0.205078125,-0.20724645256996155,-0.14124999940395355,-0.18950000405311584,3
1158,-0.19921875,-0.2137852907180786,-0.2562499940395355,-0.16449999809265137,3
1159,-0.169921875,-0.15813490748405457,-0.21125000715255737,-0.1145000010728836,3
1160,-0.185546875,-0.1883435845375061,-0.11924999952316284,-0.1550000011920929,3
1161,-0.234375,-0.006867371499538422,-0.26249998807907104,0.030500000342726707,3
1162,-0.234375,-0.14475086331367493,-0.19900000095367432,-0.10899999737739563,3
1163,-0.20703125,-0.2670742869377136,-0.2004999965429306,-0.1875,3
1164,-0.23046875,-0.09572398662567139,-0.2707499861717224,-0.09449999779462814,3
1165,-0.2109375,-0.37351033091545105,-0.1992499977350235,-0.320499986410141,3
1166,-0.19140625,-0.10046415030956268,-0.1469999998807907,-0.09600000083446503,3
1167,-0.162109375,-0.23639264702796936,-0.21674999594688416,-0.2150000035762787,3
1168,-0.189453125,-0.28259119391441345,-0.23899999260902405,-0.2004999965429306,3
1169,-0.1640625,-0.22972041368484497,-0.1172500029206276,-0.17649999260902405,3
1170,-0.2421875,0.13327115774154663,-0.05249999836087227,0.12849999964237213,3
1171,-0.150390625,-0.22654998302459717,-0.14350000023841858,-0.1679999977350235,3
1172,-0.171875,0.008001640439033508,0.03750000149011612,0.003000000026077032,3
1173,-0.234375,-0.3912096321582794,-0.3019999861717224,-0.3370000123977661,3
1174,-0.212890625,-0.271251916885376,-0.21074999868869781,-0.19099999964237213,3
1175,-0.171875,-0.13141411542892456,-0.1107499971985817,-0.09449999779462814,3
1176,-0.25,0.09775988757610321,-0.1002499982714653,0.09449999779462814,3
1177,-0.169921875,0.0543438121676445,-0.17100000381469727,0.057999998331069946,3
